Code,Title,Brand,Model,Price,Category
105418,"""Lava e Seca LG 11kg Smart Care Prime Touch ""","""lg""","""14 Programas de Lavagem Água Quente""",2799.9,ed
2190089,"""Lava e Seca Samsung 10,2kg Prata WD4000""","""samsung""","""12 Programas de Lavagem Água Quente""",2699.9,ed
2190087,"""Lava e Seca Samsung 10,2kg WD4000""","""samsung""","""12 Programas de Lavagem Água Quente""",2449.9,ed
2159005,"""Lava e Seca Samsung 10,2kg Inox WD6000""","""samsung""","""13 Programas de Lavagem""",3299.9,ed
2190566,"""Lava e Seca Midea 12Kg Prata Acqua""","""midea""","""16 Programas de Lavagem Água Quente""",2599.9,ed
105416,"""Lava e Seca LG 11kg Smart Care Prime Touch ""","""lg""","""14 Programas de Lavagem Água Quente""",3199.9,ed
2173042,"""Lava e Seca LG 8,5kg Mega Touch""","""lg""","""9 Programas de Lavagem Água Quente""",2299.9,ed
105414,"""Lava e Seca Samsung 10,2Kg WD10J""","""samsung""","""13 Programas de Lavagem""",2949.9,ed
2190085,"""Lava e Seca Samsung 8,5kg WD4000""","""samsung""","""12 Programas de Lavagem""",2399.9,ed
2181814,"""Lava e Seca LG 17Kg TWINWash""","""lg""","""14 Programas de Lavagem""",7499.9,ed
7307544,"""Lavadora e Secadora de Roupas Samsung AddWash 10,2Kg 110V WD10K6410OX/AZ""","""Samsung""","""""",3699,ed
2144105,"""Lava e Seca LG 8,5Kg Direct Drive""","""lg""","""14 Programas de Lavagem Água Quente""",3139.9,ed
5725749,"""Máquina de Lavar Roupas Brastemp 15kg BWD15A9 127V Platinum""","""Brastemp""","""""",3299.9,ed
7243411,"""Lava E Seca Midea Prata 12kg 127v""","""Midea""","""""",2668.99,ed
6422673,"""Lavadora Special Lava E Seca Easy Dry 7kg 220v 60hz Mueller""","""Mueller""","""""",2729.9,ed
842120,"""Lava e Seca Electrolux 9kg LSI09""","""electrolux""","""11 Programas de Lavagem Água Quente""",None,ed
6911423,"""Lavadora de Roupas 10kg Latina Semiautomática, Branca e Azul, LA551, 220V""","""Latina""","""""",446.52,ed
6860752,"""Lavadora de Roupas 15KG Semiautomática Colormaq LCM15""","""Colormaq""","""""",599.9,ed
